,name,birthDate
1534,Greenhouse Linda,1947-01-09
1535,Greenspan Alan,1926-03-06
1536,Greenwood James C,1951-05-04
1537,Gregg Judd,1947-02-14
1538,Gregoire Christine O,1947-03-24
1539,Gregorian Vartan,1934-04-08
1540,Gregory Wilton D,1947-12-07
1541,Greif Michael,1959-01-01
1542,Gretzky Wayne,1961-01-26
1543,Grey Brad,1957-12-29
1544,Griesa Thomas P,1930-10-11
1545,Griese Brian,1975-03-18
1546,Griffin Merv,1925-07-06
1547,Griffith Joyner Florence,1959-12-21
1548,Griffith Melanie,1957-08-09
1549,Grimes Martha,1931-05-02
1550,Grisham John,1955-02-08
1551,Groh Al,1944-07-13
1552,Grooms Red,1937-06-07
1553,Grosjean Sebastien,1978-05-29
1554,Gross John,1935-03-12
1555,Grossman David,1954-01-25
1556,Grove Andrew S,1936-09-02
1557,Grubman Elizabeth S,1971-01-30
1558,Grucci Felix J Jr,1951-11-25
1559,Gruden Jon,1963-08-17
1560,Grunfeld Ernie,1955-04-24
1561,Guare John,1938-02-05
1562,Guber Peter,1942-03-01
1563,Guei Robert,1941-03-16
1564,Guerin Bill,1970-11-09
1565,Guerrero Vladimir,1975-02-09
1566,Guettel Adam,1964-12-16
1567,Guevara Ernesto,1928-05-14
1568,Guinier Lani,1950-04-19
1569,Guinness Alec,1914-04-02
1570,Gul Abdullah,1950-10-29
1571,Gulotta Thomas S,1944-04-27
1572,Gumbel Bryant,1948-09-29
1573,Gurganus Allan,1947-06-11
1574,Gurney A R,1930-11-01
1575,Gusinsky Vladimir A,1952-10-06
1576,Gusmao Jose Alexandre,1946-06-20
1577,Guston Philip,1913-06-27
1578,Guthrie Arlo,1947-07-10
1579,Guthrie Woody,1912-07-14
1580,Gutierrez Lucio,1957-03-23
1581,Gwathmey Charles,1938-06-19
1582,Gwynn Tony,1960-05-09
1583,Gyllenhaal Jake,1980-12-19
1584,Gyllenhaal Maggie,1977-11-16
1585,Haas Jay,1953-12-02
1586,Haas Tommy,1978-04-03
1587,Haass Richard N,1951-07-28
1588,Haberman Clyde,1945-01-01
1589,Habibie B J,1936-06-25
1590,Hackman Gene,1930-01-01
1591,Haden Charlie,1937-08-06
1592,Hadid Zaha,1950-10-31
1593,Hadley Stephen J,1947-02-13
1594,Hafner Katie,1957-01-01
1595,Hagel Chuck,1946-10-04
1596,Hagen Uta,1919-06-12
1597,Hague William,1961-03-26
1598,Hahn James K,1950-07-03
1599,Haider Jorg,1950-01-26
1600,Haitink Bernard,1929-03-04
1601,Hakim Abdul Aziz al-,1953-01-01
1602,Hakkinen Mika,1968-09-28
1603,Halberstam David,1934-04-10
1604,Hall Arsenio,1956-02-12
1605,Halladay Roy,1977-05-14
1606,Hallstrom Lasse,1946-06-02
1607,Hamanaka Yasuo,1950-01-01
1608,Hamburg Margaret A,1955-07-12
1609,Hamdan Salim Ahmed,1970-01-01
1610,Hamdi Yasser Esam,1980-09-26
1611,Hamdoon Nizar,1944-05-18
1612,Hamed Prince Naseem,1974-02-12
1613,Hamill Pete,1935-06-24
1614,Hamilton Alexander,1755-01-11
1615,Hamilton Darryl,1964-12-03
1616,Hamilton Lee H,1931-04-20
1617,Hamlisch Marvin,1944-06-02
1618,Hamm Mia,1972-03-17
1619,Hamm Paul,1982-09-24
1620,Hampton Lionel,1908-04-20
1621,Hampton Mike,1972-09-09
1622,Hampton Rodney,1969-04-03
1623,Hancock Herbie,1940-04-12
1624,Handel George Frederick,1685-02-23
1625,Hanks Tom,1956-07-09
1626,Hanover Donna,1950-02-13
1627,Hansell Saul,1967-04-13
1628,Hanson Curtis,1945-03-24
1629,Hanson Victor Davis,1953-09-05
1630,Harbaugh Jim,1963-12-23
1631,Harbison John,1938-12-20
1632,Hardaway Anfernee,1971-07-18
1633,Hardaway Tim,1966-09-01
1634,Harden Marcia Gay,1959-08-14
1635,Hardin Rusty,1941-10-06
1636,Harding Tonya,1970-11-12
1637,Hargrove Mike,1949-10-26
1638,Haring Keith,1958-05-04
1639,Hariri Rafik,1944-11-01
1640,Harkin Tom,1939-11-19
1641,Harman Jane,1945-06-28
1642,Harmon Amy,1968-09-17
1643,Harnick Sheldon,1924-04-30
1644,Harnisch Pete,1966-09-23
1645,Harnoncourt Nikolaus,1929-12-06
1646,Harrelson Woody,1961-07-23
1647,Harriman Pamela,1920-03-20
1648,Harrington Padraig,1971-08-31
1649,Harris Ed,1950-11-28
1650,Harris Emmylou,1947-04-02
1651,Harris Julie,1925-12-02
1652,Harris Katherine,1957-04-05
1653,Harrison George,1943-02-25
1654,Harrison Kathryn,1961-03-20
1655,Harshbarger Scott,1941-12-01
1656,Hart Gary,1936-11-28
1657,Hart Kitty Carlisle,1910-09-03
1658,Hart Moss,1904-10-24
1659,Hartley Hal,1959-11-03
1660,Harvick Kevin,1975-12-08
1661,Hashimoto Ryutaro,1937-07-29
1662,Hastert J Dennis,1942-01-02
1663,Hatch Orrin G,1934-03-22
1664,Hatfill Steven J,1953-10-24
1665,Hawke Ethan,1970-11-06
1666,Hawking Stephen W,1942-01-08
1667,Hayami Masaru,1925-03-24
1668,Hayden Tom,1939-12-11
1669,Haydn Franz Joseph,1732-03-31
1670,Hayes Helen,1900-10-10
1671,Haynes Todd,1961-01-02
1672,Haytaian Chuck,1938-01-28
1673,Healy Bernadine,1944-08-04
1674,Healy Jerramiah T,1950-12-16
1675,Heaney Seamus,1939-04-13
1676,Heche Anne,1969-05-25
1677,Heffernan Virginia,1969-08-08
1678,Hefner Hugh,1926-04-09
1679,Heidegger Martin,1889-09-26
1680,Heinz Kerry Teresa,1938-10-05
1681,Heisenberg Werner,1901-12-05
1682,Hejduk John,1929-07-19
1683,Hekmatyar Gulbuddin,1947-01-01
1684,Helfgott David,1947-05-19
1685,Heller Joseph,1923-05-01
1686,Hellerstein Alvin K,1933-01-01
1687,Hellman Lillian,1905-06-20
1688,Helms Jesse,1921-10-18
1689,Helmsley Harry B,1909-03-04
1690,Helmsley Leona,1920-07-04
1691,Hemings Sally,1773-01-01
1692,Hemingway Ernest,1899-07-21
1693,Henderson Rickey,1958-12-25
1694,Henderson Skitch,1918-01-27
1695,Hendrix Jimi,1942-11-27
1696,Henin Justine,1982-06-01
1697,Henley Beth,1952-05-08
1698,Henley Don,1947-07-22
1699,Henman Tim,1974-09-06
1700,Henson Drew,1980-02-13
1701,Henze Hans Werner,1926-07-01
1702,Hepburn Audrey,1929-05-04
1703,Hepburn Katharine,1907-05-12
1704,Heppner Ben,1956-01-14
1705,Herbers John,1923-11-04
1706,Herbert Bob,1945-03-07
1707,Herman Alexis M,1947-07-16
1708,Herman Jerry,1931-07-10
1709,Hernandez Keith,1953-10-20
1710,Hernandez Livan,1975-02-20
1711,Hersh Seymour M,1937-04-08
1712,Hershiser Orel,1958-09-16
1713,Hertzberg Arthur,1921-06-09
1714,Herzog Chaim,1918-09-17
1715,Herzog Werner,1942-09-05
1716,Hess Leon,1914-03-13
1717,Hesser Amanda,1971-01-01
1718,Heston Charlton,1923-10-04
1719,Hevesi Alan G,1940-01-31
1720,Hewitt Don,1922-12-14
1721,Hewitt Lleyton,1981-02-24
1722,Hiaasen Carl,1953-03-12
1723,Hicks David,1975-08-07
1724,Highsmith Patricia,1921-01-19
1725,Hikind Dov,1950-06-30
1726,Hilfiger Tommy,1951-03-24
1727,Hill Anita,1956-07-30
1728,Hill Christopher R,1952-01-01
1729,Hill Grant,1972-10-05
1730,Hillary Edmund,1919-07-20
1731,Hillerman Tony,1925-05-27
1732,Hilliard Ike,1976-04-05
1733,Hilton Paris,1981-02-17
1734,Hinchey Maurice D,1938-10-27
1735,Hines Gregory,1946-02-14
1736,Hingis Martina,1980-09-30
1737,Hinton Milt,1910-06-23
1738,Hirsch Charles S,1937-01-01
1739,Hirsch Edward,1950-01-20
1740,Hirsch Judd,1935-03-15
1741,Hirschfeld Abe,1919-12-12
1742,Hirschfeld Al,1903-06-21
1743,Hirst Damien,1965-06-07
1744,Hiss Alger,1904-11-11
1745,Hitchcock Alfred,1899-08-13
1746,Hitchcock Sterling,1971-04-29
1747,Hitchens Christopher,1949-04-13
1748,Hitler Adolf,1889-04-20
1749,Hoagland Edward,1932-12-21
1750,Hoch Scott,1955-11-24
1751,Hochberg Faith S,1950-01-01
1752,Hochschild Adam,1942-01-01
1753,Hockney David,1937-07-09
1754,Hodges Jim,1956-11-19
1755,Hoffa James P,1941-05-09
1756,Hoffman Alice,1952-03-16
1757,Hoffman Dustin,1937-08-08
1758,Hoffman Philip Seymour,1967-07-23
1759,Hogan Thomas F,1938-01-01
1760,Hoge Warren,1941-01-01
1761,Holbrooke Richard C,1941-04-24
1762,Holden Stephen,1941-07-18
1763,Holder Eric H Jr,1951-01-21
1764,Holdsclaw Chamique,1977-08-09
1765,Holiday Billie,1915-04-07
1766,Holik Bobby,1971-01-01
1767,Holl Steven,1947-12-09
1768,Hollings Ernest F,1922-01-01
1769,Holmgren Mike,1948-06-15
1770,Holtz Lou,1937-01-06
1771,Holtzman Elizabeth,1941-08-11
1772,Holyfield Evander,1962-10-19
1773,Homer Winslow,1836-02-24
1774,Hoon Geoff,1953-12-06
1775,Hoover J Edgar,1895-01-01
1776,Hope Bob,1903-05-29
1777,Hopkins Anthony,1937-12-31
1778,Hopkins Bernard,1965-01-15
1779,Hopper Dennis,1936-05-17
1780,Hopper Edward,1882-07-22
1781,Hornby Nick,1957-04-17
1782,Horne Lena,1917-06-30
1783,Horne Marilyn,1934-01-16
1784,Horovitz Israel,1939-03-31
1785,Horyn Cathy,1956-09-11
1786,Hostetler Jeff,1961-04-22
1787,Hotchner A E,1920-06-28
1788,Houdini Harry,1874-03-24
1789,Houston Allan,1971-04-20
1790,Houston Whitney,1963-08-09
1791,Howard Dwight,1985-12-08
1792,Howard Juwan,1973-02-07
1793,Howard Ron,1954-03-01
1794,Howe Art,1946-12-15
1795,Howe Gordie,1928-03-31
1796,Howe Tina,1937-11-21
1797,Hoyer Steny H,1939-06-14
1798,Hsu Norman,1951-01-01
1799,Hubbell Webster L,1948-01-01
1800,Huber Anke,1974-12-04
1801,Huckabee Mike,1955-08-24
1802,Hudson Kate,1979-04-19
1803,Hudson Rock,1925-11-17
1804,Huffington Arianna,1950-07-15
1805,Hughes Langston,1902-02-01
1806,Hughes Phil,1986-06-22
1807,Hughes Sarah,1985-05-02
1808,Hughes Ted,1930-08-17
1809,Huizenga H Wayne,1937-12-29
1810,Hull Brett,1964-08-09
1811,Hull Jane Dee,1935-08-08
1812,Hume John,1937-01-18
1813,Hundley Todd,1969-05-27
1814,Hundt Reed E,1948-03-03
1815,Hunt Helen,1963-06-15
1816,Hunter C J,1968-12-14
1817,Hunter Duncan,1948-05-31
1818,Hunter Holly,1958-03-20
1819,Huntington Samuel P,1927-04-18
1820,Huppert Isabelle,1953-03-16
1821,Hurst Pat,1969-05-23
1822,Hurston Zora Neale,1891-01-07
1823,Hurt William,1950-03-20
1824,Husband Rick D,1957-07-12
1825,Hussein Qusay,1966-05-17
1826,Hussein Saddam,1937-04-28
1827,Hussein Uday,1964-06-18
1828,Huston Anjelica,1951-07-08
1829,Huston John,1906-08-05
1830,Hutchinson Asa,1950-12-03
1831,Hutchinson Tim,1949-08-11
1832,Hutchison Kay Bailey,1943-07-22
1833,Hvorostovsky Dmitri,1962-10-16
1834,Hwang David Henry,1957-08-11
1835,Hyde Henry J,1924-04-18
1836,Hynes Charles J,1935-05-28
1837,Hytner Nicholas,1956-05-07
1838,Iacocca Lee A,1924-10-15
1839,Ibrahim Anwar,1947-08-10
1840,Ibrahim Saad Eddin,1938-12-03
1841,Ibsen Henrik,1828-03-20
1842,Icahn Carl C,1936-02-16
1843,Ickes Harold M,1939-09-04
1844,Idei Nobuyuki,1937-11-22
1845,Ifill Gwen,1955-09-29
1846,Iger Robert A,1951-02-10
1847,Iliescu Ion,1930-03-03
1848,Imanishi-Kari Thereza,1943-01-01
1849,Immelt Jeffrey R,1956-02-19
1850,Imus Don,1940-07-23
1851,Inhofe James M,1934-11-17
1852,Inkster Juli,1960-06-24
1853,Inouye Daniel K,1924-09-07
1854,Ionesco Eugene,1909-11-26
1855,Irabu Hideki,1969-05-05
1856,Ireland Patricia,1945-10-19
1857,Irons Jeremy,1948-09-19
1858,Irvan Ernie,1959-01-13
1859,Irvin Michael,1966-03-05
1860,Irving David,1938-03-24
1861,Irving John,1942-03-02
1862,Irving Washington,1783-04-03
1863,Irwin Bill,1950-04-11
1864,Irwin Hale,1945-06-03
1865,Isaacson Walter,1952-03-20
1866,Isakson Johnny,1944-12-28
1867,Isdell E Neville,1943-06-08
1868,Israel Samuel III,1959-07-20
1869,Isringhausen Jason,1972-09-07
1870,Ivanov Igor S,1945-09-23
1871,Ivanov Sergei B,1953-01-31
1872,Iverson Allen,1975-06-07
1873,Ives Charles Edward,1874-10-20
1874,Ives David,1950-07-11
1875,Ivey Judith,1951-09-04
1876,Ivins Bruce E,1946-04-22
1877,Ivins Molly,1944-08-30
1878,Iyer Pico,1957-02-11
1879,Izquierdo Elisa,1989-02-11
1880,Jaafari Ibrahim Al-,1947-03-25
1881,Jackman Hugh,1968-10-12
1882,Jackson Janet,1966-05-16
1883,Jackson Jesse L,1941-10-08
1884,Jackson Kenneth T,1939-01-01
1885,Jackson Michael,1958-08-29
1886,Jackson Peter,1961-10-31
1887,Jackson Phil,1945-09-17
1888,Jackson Reggie,1946-05-18
1889,Jackson Samuel L,1948-12-21
1890,Jackson Thomas Penfield,1937-01-10
1891,Jacobs Jane,1916-05-04
1892,Jacobs Marc,1963-04-09
1893,Jacobs Regina,1963-08-28
1894,Jacoby Susan,1945-06-04
1895,Jagger Mick,1943-07-26
1896,Jagr Jaromir,1972-02-15
1897,James Henry,1843-04-05
1898,James LeBron,1984-12-30
1899,James P D,1920-08-03
1900,James Sharpe,1936-02-20
1901,Jamieson Kathleen Hall,1946-01-01
1902,Jamison Judith,1943-05-10
1903,Janklow Bill,1939-09-13
1904,Jansons Mariss,1943-01-14
1905,Janzen Lee,1964-08-28
1906,Jarmusch Jim,1953-01-22
1907,Jarrett Dale,1956-11-26
1908,Jarrett Keith,1945-05-08
1909,Jaruzelski Wojciech,1923-07-06
1910,Jarvi Neeme,1937-06-07
1911,Jarvis Mike,1945-04-12
1912,Jefferson Margo,1947-10-17
1913,Jefferson Richard,1980-06-21
1914,Jefferson Thomas,1743-04-13
1915,Jefferson William J,1947-03-14
1916,Jeffords James M,1934-05-11
1917,Jeffs Warren S,1955-12-03
1918,Jen Gish,1955-01-01
1919,Jennings Peter,1938-07-29
1920,Jeter Derek,1974-06-26
1921,Jett Joseph,1958-01-01
1922,Jindal Bobby,1971-06-10
1923,Jobs Steven P,1955-02-24
1924,Joel Billy,1949-05-09
1925,Joffe Josef,1944-03-15
1926,Johanns Mike,1950-06-18
1927,Johansson Scarlett,1984-11-22
1928,Johansson Thomas,1975-03-24
1929,John Elton,1947-03-25
1930,Johns Jasper,1930-05-15
1931,Johnson Andrew,1808-12-29
1932,Johnson Betsey,1942-08-10
1933,Johnson Denis,1949-07-01
1934,Johnson Diane,1934-04-28
1935,Johnson Don,1949-12-15
1936,Johnson Earvin,1959-08-14
1937,Johnson Gary E,1953-01-01
1938,Johnson Keyshawn,1972-07-22
1939,Johnson Lady Bird,1912-12-22
1940,Johnson Lyndon Baines,1908-08-27
1941,Johnson Nick,1978-09-19
1942,Johnson Norma Holloway,1932-07-28
1943,Johnson Philip,1906-07-08
1944,Johnson Randy,1963-09-10
1945,Johnson Stephen L,1951-03-21
1946,Johnston David Cay,1948-12-24
1947,Jolie Angelina,1975-06-04
1948,Jones Barbara S,1947-01-01
1949,Jones Bill T,1952-02-15
1950,Jones Cherry,1956-11-21
1951,Jones Chipper,1972-04-24
1952,Jones Chuck,1912-09-21
1953,Jones James Earl,1931-01-17
1954,Jones James L,1943-12-19
1955,Jones Jerry,1942-10-13
1956,Jones Marion,1975-10-12
1957,Jones Norah,1979-03-30
1958,Jones Paula Corbin,1966-09-17
1959,Jones Quincy,1933-03-14
1960,Jones Tommy Lee,1946-09-15
1961,Jong Erica,1942-03-26
1962,Joplin Janis,1943-01-19
1963,Joppy William,1970-09-11
1964,Jordan Barbara,1936-02-21
1965,Jordan LaMont,1978-11-11
1966,Jordan Michael,1963-02-17
1967,Jordan Neil,1950-02-25
1968,Jordan Vernon E Jr,1935-08-15
1969,Jospin Lionel,1937-07-12
1970,Joyce James,1882-02-02
1971,Joyner-Kersee Jackie,1962-03-03
1972,Judah Zab,1977-10-27
1973,Judd Ashley,1968-04-19
1974,Judd Donald,1928-06-03
1975,Julia Raul,1940-03-09
1976,Jung Carl Gustav,1875-07-26
1977,Junger Sebastian,1962-01-17
1978,Juppe Alain,1945-08-15
1979,Jurevicius Joe,1974-12-23
1980,Just Ward,1935-09-05
1981,Justice David,1966-04-14
1982,Kabila Joseph,1971-06-04
1983,Kabila Laurent,1939-11-27
1984,Kaczynski David,1949-10-03
1985,Kaczynski Theodore J,1942-05-22
1986,Kadyrov Akhmad,1951-08-23
1987,Kadyrov Ramzan,1976-10-05
1988,Kael Pauline,1919-06-19
1989,Kafelnikov Yevgeny,1974-02-18
1990,Kafka Franz,1883-07-03
1991,Kagame Paul,1957-10-23
1992,Kagan Robert,1958-09-26
1993,Kahane Meir,1932-08-01
1994,Kahlo Frida,1907-07-06
1995,Kahn Alfred E,1917-10-17
1996,Kahn Louis I,1901-02-20
1997,Kaine Timothy M,1958-02-26
1998,Kakutani Michiko,1955-01-09
1999,Kalikow Peter S,1942-12-01
2000,Kalman Tibor,1949-07-06
2001,Kaminer Wendy,1949-01-01
2002,Kamm Henry,1925-01-01
2003,Kamsky Gata,1974-06-02
2004,Kander John,1927-03-18
2005,Kanell Danny,1973-11-21
2006,Kanka Megan,1986-12-07
2007,Kantor Jodi,1975-04-21
2008,Kantor Mickey,1939-08-07
2009,Kaplan Lewis A,1944-12-23
2010,Kaplan Robert D,1952-06-23
2011,Karan Donna,1948-10-02
2012,Karimov Islam,1938-01-30
2013,Kariya Paul,1974-10-16
2014,Karl George,1951-05-12
2015,Karmazin Mel,1943-08-24
2016,Karpov Anatoly,1951-05-23
2017,Karsay Steve,1972-03-24
2018,Karzai Hamid,1957-12-24
2019,Kasich John R,1952-05-13
2020,Kasparaitis Darius,1972-10-16
2021,Kasparov Garry,1963-04-13
2022,Kass Leon R,1939-02-12
2023,Kastor Deena,1973-02-14
2024,Kasyanov Mikhail M,1957-12-08
2025,Katsav Moshe,1945-12-05
2026,Katz Alex,1927-07-24
2027,Katzenberg Jeffrey,1950-12-21
2028,Kaufman George S,1889-11-16
2029,Kaufman Moises,1963-11-21
2030,Kaunda Kenneth D,1924-04-28
2031,Kawakubo Rei,1942-10-11
2032,Kaye Judith S,1938-08-04
2033,Kazan Elia,1909-09-07
2034,Kazin Alfred,1915-06-05
2035,Kean Thomas H,1935-04-21
2036,Keating Frank,1944-02-10
2037,Keaton Diane,1946-01-05
2038,Kehr Dave,1953-01-01
2039,Keillor Garrison,1942-08-07
2040,Keitel Harvey,1939-05-13
2041,Keller Bill,1949-01-18
2042,Keller Kasey,1969-11-29
2043,Keller Thomas,1955-10-14
2044,Kellerman Jonathan,1949-08-09
2045,Kelley David E,1956-04-04
2046,Kelley Kitty,1942-04-04
2047,Kelly Ellsworth,1923-05-31
2048,Kelly Gene,1912-08-23
2049,Kelly James A,1936-01-01
2050,Kelly R,1967-01-08
2051,Kelly Raymond W,1941-09-04
2052,Kelly Roberto,1964-10-01
2053,Kelly Sue W,1936-09-26
2054,Kemp Jack F,1935-07-13
2055,Kempthorne Dirk,1951-10-29
2056,Kendall David E,1944-01-01
2057,Keneally Thomas,1935-10-07
2058,Kennan George F,1904-02-16
2059,Kennard William E,1957-01-01
2060,Kennedy Anthony M,1936-07-23
2061,Kennedy Carolyn Bessette,1966-01-07
2062,Kennedy Edward M,1932-02-22
2063,Kennedy Ethel,1928-04-11
2064,Kennedy John Fitzgerald,1917-05-29
2065,Kennedy Patrick J,1967-07-14
2066,Kennedy Robert Francis,1925-11-20
2067,Kennelly Barbara Bailey,1936-07-10
2068,Kenseth Matt,1972-03-10
2069,Kerik Bernard B,1955-09-04
2070,Kerkorian Kirk,1917-06-06
2071,Kern Jerome,1885-01-27
2072,Kernis Aaron Jay,1960-01-15
2073,Kerouac Jack,1922-03-12
2074,Kerrey Bob,1943-08-27
2075,Kerrigan Nancy,1969-10-13
2076,Kerry John,1943-12-11
2077,Kerviel Jerome,1977-01-11
2078,Kessler David A,1951-05-13
2079,Kessler Gladys,1938-01-22
2080,Kevorkian Jack,1928-05-26
2081,Key Jimmy,1961-04-22
2082,Keyes Alan,1950-08-07
2083,Keynes John Maynard,1883-06-05
2084,Keys Alicia,1980-01-25
2085,Khalilzad Zalmay,1951-03-22
2086,Khamenei Ali,1939-07-15
2087,Khan Abdul Qadeer,1936-04-01
2088,Khan Ismail,1946-01-01
2089,Khannouchi Khalid,1971-09-12
2090,Kharrazi Kamal,1944-12-01
2091,Khatami Mohammad,1943-10-13
2092,Khodorkovsky Mikhail B,1963-06-26
2093,Khomeini Ruhollah,1900-09-24
2094,Khrushchev Nikita S,1894-04-15
2095,Kiarostami Abbas,1940-06-22
2096,Kibaki Mwai,1931-11-15
2097,Kidd Jason,1973-03-23
2098,Kidman Nicole,1967-06-20
2099,Kiefer Nicolas,1977-07-05
2100,Kiley Robert R,1935-09-16
2101,Kilpatrick Kwame M,1970-06-06
2102,Kimes Kenneth,1934-07-24
2103,Kimmel Jimmy,1967-11-13
2104,Kincaid Jamaica,1949-05-25
2105,King Angus Jr,1944-03-31
2106,King B B,1925-09-16
2107,King Billie Jean,1943-11-22
2108,King Coretta Scott,1927-04-27
2109,King Larry,1933-11-19
2110,King Rodney Glen,1965-04-02
2111,King Stephen,1947-09-21
2112,Kingsley Ben,1943-12-31
2113,Kingsolver Barbara,1955-04-08
2114,Kinsley Michael,1951-03-09
2115,Kinzer Stephen,1951-08-04
2116,Kipling Rudyard,1865-12-30
2117,Kirchner Cristina Fernandez de,1953-02-19
2118,Kirchner Nestor,1950-02-25
2119,Kirkpatrick Jeane J,1926-11-19
2120,Kisselgoff Anna,1938-01-12
2121,Kissinger Henry A,1923-05-27
2122,Kite Tom,1949-12-09
2123,Kitt Eartha,1927-01-17
2124,Kittles Kerry,1974-06-12
2125,Kitzhaber John,1947-03-05
2126,Klam Matthew,1964-01-01
2127,Klaus Vaclav,1941-06-19
2128,Klebnikov Paul,1963-06-03
2129,Klein Joel I,1946-10-25
2130,Klestil Thomas,1932-11-04
2131,Klimt Gustav,1862-07-14
2132,Kline Kevin,1947-10-24
2133,Klinghoffer Leon,1916-09-24
2134,Klinkenborg Verlyn,1952-01-01
2135,Klitschko Vitali,1971-07-19
2136,Kluge John W,1914-09-21
2137,Knapp Caroline,1959-11-08
2138,Knight Bob,1940-10-25
2139,Knoblauch Chuck,1968-07-07
2140,Knowles Beyonce,1981-09-04
2141,Koch Edward I,1924-12-12
2142,Kocharian Robert,1954-08-31
2143,Koeltl John G,1945-01-01
2144,Kohl Helmut,1930-04-03
2145,Kohler Horst,1943-02-22
2146,Koizumi Junichiro,1942-01-08
2147,Kolata Gina,1948-02-25
2148,Kolbe Jim,1942-06-28
2149,Kollar-Kotelly Colleen,1943-01-01
2150,Komansky David H,1939-01-01
2151,Konstantinov Vladimir,1967-03-19
2152,Koolhaas Rem,1944-11-17
2153,Koons Jeff,1955-01-21
2154,Koontz Dean,1945-07-09
2155,Koop C Everett,1916-10-14
2156,Kopp James Charles,1954-08-02
2157,Koppel Ted,1940-02-08
2158,Koppell G Oliver,1940-12-15
2159,Korchnoi Viktor,1931-03-23
2160,Korda Michael,1933-10-08
2161,Korda Petr,1968-01-23
2162,Koresh David,1959-08-17
2163,Korman Edward R,1942-10-25
2164,Kornblut Anne E,1973-02-25
2165,Kors Michael,1959-08-09
2166,Kostelic Janica,1982-01-05
2167,Kotite Rich,1942-10-13
2168,Kouchner Bernard,1939-11-01
2169,Koufax Sandy,1935-12-30
2170,Kournikova Anna,1981-06-07
2171,Kovalev Aleksei,1973-02-24
2172,Kozinn Allan,1954-07-30
2173,Kozlowski L Dennis,1946-11-16
2174,Kozol Jonathan,1936-09-05
2175,Kraft Robert K,1941-06-05
2176,Krajicek Richard,1971-12-06
2177,Krakauer Jon,1954-04-12
2178,Krall Diana,1964-11-16
2179,Kramer Larry,1935-06-25
2180,Kramer Peter D,1948-10-22
2181,Kramnik Vladimir,1975-06-25
2182,Krasner Lee,1908-10-27
2183,Kravis Henry R,1944-01-06
2184,Kremer Gidon,1947-02-27
2185,Krens Thomas,1946-12-26
2186,Kristeller Paul Oskar,1905-05-22
2187,Kristof Nicholas D,1959-04-27
2188,Kristol William,1952-12-23
2189,Krone Julie,1963-07-24
2190,Krueger Alan B,1960-09-17
2191,Kruger Carl,1949-12-03
2192,Krugman Paul,1953-02-28
2193,Krzyzewski Mike,1947-02-13
2194,Kubrick Stanley,1928-07-26
2195,Kuby Ronald L,1956-07-31
2196,Kuchma Leonid,1938-08-09
2197,Kucinich Dennis J,1946-10-08
2198,Kuerten Gustavo,1976-09-10
2199,Kulish Nicholas,1975-01-01
2200,Kumaratunga Chandrika,1945-06-29
2201,Kundera Milan,1929-04-01
2202,Kuralt Charles,1934-09-10
2203,Kureishi Hanif,1954-12-05
2204,Kurosawa Akira,1910-03-23
2205,Kushner Charles,1954-05-16
2206,Kushner Tony,1956-07-16
2207,Kuznetsova Svetlana,1985-06-27
2208,Kwan Michelle,1980-07-07
2209,Kwasniewski Aleksander,1954-11-15
2210,LaBute Neil,1963-03-19
2211,LaChiusa Michael John,1962-07-24
2212,LaFalce John J,1939-10-06
2213,LaFontaine Pat,1965-02-22
2214,LaPierre Wayne,1948-11-08
2215,Labastida Ochoa Francisco,1942-08-14
2216,Labonte Bobby,1964-05-08
2217,Lacroix Christian,1951-05-16
2218,Lafontaine Oskar,1943-09-16
2219,Lafraniere Sharon,1955-06-15
2220,Lagasse Emeril,1959-10-15
2221,Lagerfeld Karl,1933-09-10
2222,Lagos Ricardo,1938-03-02
2223,Lahoud Emile,1936-01-12
2224,Lahti Christine,1950-04-04
2225,Lake Anthony,1939-04-02
2226,Lamberth Royce C,1943-07-16
2227,Lamm Richard D,1935-09-12
2228,Lamont Ned,1954-01-03
2229,Lamoriello Lou,1942-10-21
2230,Lamos Mark,1946-03-10
2231,Lampert Edward S,1962-07-19
2232,Lamy Pascal,1947-04-08
2233,Lancaster Burt,1913-11-02
2234,Landesman Rocco,1947-07-20
2235,Landis Floyd,1975-10-14
2236,Landis John,1950-08-03
2237,Landler Mark,1965-10-26
2238,Lane Nathan,1956-02-03
2239,Lang K D,1961-11-02
2240,Lange Jessica,1949-04-20
2241,Langella Frank,1938-01-01
2242,Langewiesche William,1955-06-12
2243,Langone Kenneth G,1935-09-16
2244,Lansbury Angela,1925-10-16
2245,Lansing Sherry,1944-07-31
2246,Lantos Tom,1928-02-01
2247,Lapine James,1949-01-10
2248,Laredo Jaime,1941-06-07
2249,Laredo Ruth,1937-11-20
2250,Largent Steve,1954-09-28
2251,Larijani Ali,1958-06-03
2252,Larsen Don,1929-08-07
2253,Larson Jonathan,1960-02-04
2254,Lasorda Tommy,1927-09-22
2255,Latortue Gerard,1934-06-19
2256,Lauder Ronald S,1944-02-26
2257,Lauper Cyndi,1953-06-22
2258,Lauren Ralph,1939-10-14
2259,Laurents Arthur,1918-07-14
2260,Lautenberg Frank R,1924-01-23
2261,Lavagna Roberto,1942-03-24
2262,Lavin Linda,1937-10-15
2263,Laviolette Peter,1964-12-07
2264,Law Bernard F,1931-11-04
2265,Law Jude,1972-12-29
2266,Lawrence Francis L,1937-08-25
2267,Lawrence Jacob,1917-09-07
